index,age,workclass,education,marital-status,occupation,race,sex,native-country,salary
*,*,Government,Higher education,Never-married,Nontechnical,Black,Female,United-States,<=50K
*,*,Government,Higher education,Divorced,Nontechnical,Black,Female,United-States,<=50K
*,*,Government,Higher education,Married-civ-spouse,Nontechnical,Black,Female,United-States,>50K
*,*,Government,Higher education,Married-civ-spouse,Nontechnical,Black,Female,United-States,>50K
*,*,Government,Higher education,Divorced,Nontechnical,Black,Female,United-States,>50K
*,*,Government,Higher education,Divorced,Nontechnical,Black,Female,United-States,<=50K
*,*,Government,Higher education,Divorced,Nontechnical,Black,Female,United-States,<=50K
*,*,Government,Higher education,Divorced,Nontechnical,Black,Female,United-States,<=50K
*,*,Government,Higher education,Divorced,Nontechnical,Black,Female,United-States,<=50K
*,*,Government,Higher education,Divorced,Nontechnical,Black,Female,United-States,<=50K
*,*,Government,Higher education,Divorced,Nontechnical,Black,Female,United-States,>50K
*,*,Government,Higher education,Never-married,Nontechnical,Black,Female,United-States,<=50K
*,*,Government,Higher education,Divorced,Nontechnical,Black,Female,United-States,<=50K
*,*,Government,Higher education,Never-married,Nontechnical,Black,Female,United-States,<=50K
*,*,Government,Higher education,Married-spouse-absent,Nontechnical,Black,Female,United-States,<=50K
*,*,Government,Higher education,Divorced,Nontechnical,Black,Female,United-States,<=50K
*,*,Government,Higher education,Divorced,Nontechnical,Black,Female,United-States,<=50K
*,*,Government,Higher education,Widowed,Nontechnical,Black,Female,United-States,<=50K
*,*,Government,Higher education,Divorced,Nontechnical,Black,Female,United-States,>50K
*,*,Government,Higher education,Divorced,Nontechnical,Black,Female,United-States,<=50K
*,*,Government,Higher education,Never-married,Nontechnical,Black,Female,United-States,>50K
*,*,Government,Higher education,Divorced,Nontechnical,Black,Female,United-States,<=50K
*,*,Government,Higher education,Married-civ-spouse,Nontechnical,Black,Female,United-States,>50K
*,*,Government,Higher education,Divorced,Nontechnical,Black,Female,United-States,<=50K
*,*,Government,Higher education,Separated,Nontechnical,Black,Female,United-States,<=50K
*,*,Government,Higher education,Never-married,Nontechnical,Black,Female,United-States,<=50K
*,*,Government,Higher education,Widowed,Nontechnical,Black,Female,United-States,<=50K
*,*,Government,Higher education,Never-married,Nontechnical,White,Female,United-States,<=50K
*,*,Government,Higher education,Married-civ-spouse,Nontechnical,White,Female,United-States,<=50K
*,*,Government,Higher education,Married-civ-spouse,Nontechnical,White,Female,United-States,>50K
*,*,Government,Higher education,Never-married,Nontechnical,White,Female,United-States,<=50K
*,*,Government,Higher education,Never-married,Nontechnical,White,Female,United-States,<=50K
*,*,Government,Higher education,Never-married,Nontechnical,White,Female,United-States,<=50K
*,*,Government,Higher education,Never-married,Nontechnical,White,Female,United-States,<=50K
*,*,Government,Higher education,Married-civ-spouse,Nontechnical,White,Female,United-States,<=50K
