index,age,workclass,education,marital-status,occupation,race,sex,native-country,salary
*,"[11, 20]",*,Higher education,Spouse not present,*,White,Female,North America,*
*,"[11, 20]",*,Higher education,Spouse not present,*,White,Female,North America,*
*,"[11, 20]",*,Higher education,Spouse not present,*,White,Female,North America,*
*,"[11, 20]",*,Higher education,Spouse not present,*,White,Female,North America,*
*,"[11, 20]",*,Higher education,Spouse not present,*,White,Female,North America,*
*,"[11, 20]",*,Higher education,Spouse not present,*,White,Female,North America,*
*,"[11, 20]",*,Higher education,Spouse not present,*,White,Female,North America,*
*,"[11, 20]",*,Higher education,Spouse not present,*,White,Female,North America,*
*,"[11, 20]",*,Higher education,Spouse not present,*,White,Female,North America,*
*,"[11, 20]",*,Higher education,Spouse not present,*,White,Female,North America,*
*,"[11, 20]",*,Higher education,Spouse not present,*,White,Female,North America,*
*,"[11, 20]",*,Higher education,Spouse not present,*,White,Female,North America,*
*,"[11, 20]",*,Higher education,Spouse not present,*,White,Female,North America,*
*,"[11, 20]",*,Higher education,Spouse not present,*,White,Female,North America,*
*,"[11, 20]",*,Higher education,Spouse not present,*,White,Female,North America,*
*,"[11, 20]",*,Higher education,Spouse not present,*,White,Female,North America,*
*,"[11, 20]",*,Higher education,Spouse not present,*,White,Female,North America,*
*,"[11, 20]",*,Higher education,Spouse not present,*,White,Female,North America,*
*,"[11, 20]",*,Higher education,Spouse not present,*,White,Female,North America,*
*,"[11, 20]",*,Higher education,Spouse not present,*,White,Female,North America,*
*,"[11, 20]",*,Higher education,Spouse not present,*,White,Female,North America,*
*,"[11, 20]",*,Higher education,Spouse not present,*,White,Female,North America,*
*,"[11, 20]",*,Higher education,Spouse not present,*,White,Female,North America,*
*,"[11, 20]",*,Higher education,Spouse not present,*,White,Female,North America,*
*,"[11, 20]",*,Higher education,Spouse not present,*,White,Female,North America,*
*,"[11, 20]",*,Higher education,Spouse not present,*,White,Female,North America,*
*,"[11, 20]",*,Higher education,Spouse not present,*,White,Female,North America,*
*,"[11, 20]",*,Higher education,Spouse not present,*,White,Female,North America,*
*,"[11, 20]",*,Higher education,Spouse not present,*,White,Female,North America,*
*,"[11, 20]",*,Higher education,Spouse not present,*,White,Female,North America,*
*,"[11, 20]",*,Higher education,Spouse not present,*,White,Female,North America,*
*,"[11, 20]",*,Higher education,Spouse not present,*,White,Female,North America,*
*,"[11, 20]",*,Higher education,Spouse not present,*,White,Female,North America,*
*,"[11, 20]",*,Higher education,Spouse not present,*,White,Female,North America,*
*,"[11, 20]",*,Higher education,Spouse not present,*,White,Female,North America,*
*,"[11, 20]",*,Higher education,Spouse not present,*,White,Female,North America,*
*,"[11, 20]",*,Higher education,Spouse not present,*,White,Female,North America,*
*,"[11, 20]",*,Higher education,Spouse not present,*,White,Female,North America,*
*,"[11, 20]",*,Higher education,Spouse not present,*,White,Female,North America,*
*,"[11, 20]",*,Higher education,Spouse not present,*,White,Female,North America,*
*,"[11, 20]",*,Higher education,Spouse not present,*,White,Female,North America,*
*,"[11, 20]",*,Higher education,Spouse not present,*,White,Female,North America,*
*,"[11, 20]",*,Higher education,Spouse not present,*,White,Female,North America,*
*,"[11, 20]",*,Higher education,Spouse not present,*,White,Female,North America,*
*,"[11, 20]",*,Higher education,Spouse not present,*,White,Female,North America,*
*,"[11, 20]",*,Higher education,Spouse not present,*,White,Female,North America,*
*,"[11, 20]",*,Higher education,Spouse not present,*,White,Female,North America,*
*,"[11, 20]",*,Higher education,Spouse not present,*,White,Female,North America,*
*,"[11, 20]",*,Higher education,Spouse not present,*,White,Female,North America,*
*,"[11, 20]",*,Higher education,Spouse not present,*,White,Female,North America,*
*,"[11, 20]",*,Higher education,Spouse not present,*,White,Female,North America,*
*,"[11, 20]",*,Higher education,Spouse not present,*,White,Female,North America,*
*,"[11, 20]",*,Higher education,Spouse not present,*,White,Female,North America,*
*,"[11, 20]",*,Higher education,Spouse not present,*,White,Female,North America,*
*,"[11, 20]",*,Higher education,Spouse not present,*,White,Female,North America,*
*,"[11, 20]",*,Higher education,Spouse not present,*,White,Female,North America,*
*,"[11, 20]",*,Higher education,Spouse not present,*,White,Female,North America,*
*,"[11, 20]",*,Higher education,Spouse not present,*,White,Female,North America,*
*,"[11, 20]",*,Higher education,Spouse not present,*,White,Female,North America,*
*,"[11, 20]",*,Higher education,Spouse not present,*,White,Female,North America,*
*,"[11, 20]",*,Higher education,Spouse not present,*,White,Female,North America,*
*,"[11, 20]",*,Higher education,Spouse not present,*,White,Female,North America,*
*,"[11, 20]",*,Higher education,Spouse not present,*,White,Female,North America,*
*,"[11, 20]",*,Higher education,Spouse not present,*,White,Female,North America,*
