index,age,workclass,education,marital-status,occupation,race,sex,native-country,salary
*,*,Government,*,*,Other,White,Female,North America,<=50K
*,*,Government,*,*,Other,White,Female,North America,<=50K
*,*,Government,*,*,Other,White,Female,North America,<=50K
*,*,Government,*,*,Other,White,Female,North America,<=50K
*,*,Government,*,*,Other,White,Female,North America,<=50K
*,*,Government,*,*,Other,White,Female,North America,<=50K
*,*,Government,*,*,Other,White,Female,North America,<=50K
*,*,Government,*,*,Other,White,Female,North America,<=50K
*,*,Government,*,*,Other,White,Female,North America,<=50K
*,*,Government,*,*,Other,White,Female,North America,<=50K
*,*,Government,*,*,Other,White,Female,North America,<=50K
*,*,Government,*,*,Other,White,Female,North America,<=50K
*,*,Government,*,*,Other,White,Female,North America,<=50K
*,*,Government,*,*,Other,White,Female,North America,<=50K
*,*,Government,*,*,Other,White,Female,North America,<=50K
*,*,Government,*,*,Other,White,Female,North America,<=50K
*,*,Government,*,*,Other,White,Female,North America,<=50K
*,*,Government,*,*,Other,White,Female,North America,<=50K
*,*,Government,*,*,Other,White,Female,North America,<=50K
*,*,Government,*,*,Other,White,Female,North America,<=50K
*,*,Government,*,*,Other,White,Female,North America,<=50K
*,*,Government,*,*,Other,White,Female,North America,<=50K
*,*,Government,*,*,Other,White,Female,North America,<=50K
*,*,Government,*,*,Other,White,Female,North America,<=50K
*,*,Government,*,*,Other,White,Female,North America,<=50K
*,*,Government,*,*,Other,White,Female,North America,<=50K
*,*,Government,*,*,Other,White,Female,North America,<=50K
*,*,Government,*,*,Other,White,Female,North America,<=50K
*,*,Government,*,*,Other,White,Female,North America,<=50K
*,*,Government,*,*,Other,White,Female,North America,<=50K
*,*,Government,*,*,Other,White,Female,North America,<=50K
*,*,Government,*,*,Other,White,Female,North America,<=50K
*,*,Government,*,*,Other,White,Female,North America,<=50K
*,*,Government,*,*,Other,White,Female,North America,<=50K
*,*,Government,*,*,Other,White,Female,North America,<=50K
*,*,Government,*,*,Other,White,Female,North America,<=50K
*,*,Government,*,*,Other,White,Female,North America,<=50K
*,*,Government,*,*,Other,White,Female,North America,<=50K
*,*,Government,*,*,Other,White,Female,North America,<=50K
*,*,Government,*,*,Other,White,Female,North America,<=50K
*,*,Government,*,*,Other,White,Female,North America,<=50K
*,*,Government,*,*,Other,White,Female,North America,<=50K
*,*,Government,*,*,Other,White,Female,North America,<=50K
*,*,Government,*,*,Other,White,Female,North America,<=50K
*,*,Government,*,*,Other,White,Female,North America,<=50K
*,*,Government,*,*,Other,White,Female,North America,<=50K
*,*,Government,*,*,Other,White,Female,North America,<=50K
*,*,Government,*,*,Other,White,Female,North America,<=50K
*,*,Government,*,*,Other,White,Female,North America,<=50K
*,*,Government,*,*,Other,White,Female,North America,<=50K
*,*,Government,*,*,Other,White,Female,North America,<=50K
*,*,Government,*,*,Other,White,Female,North America,<=50K
*,*,Government,*,*,Other,White,Female,North America,<=50K
*,*,Government,*,*,Other,White,Female,North America,<=50K
*,*,Government,*,*,Other,White,Female,North America,<=50K
*,*,Government,*,*,Other,White,Female,North America,<=50K
*,*,Government,*,*,Other,White,Female,North America,<=50K
*,*,Government,*,*,Other,White,Female,North America,<=50K
*,*,Government,*,*,Other,White,Female,North America,<=50K
*,*,Government,*,*,Other,White,Female,North America,<=50K
*,*,Government,*,*,Other,White,Female,North America,<=50K
*,*,Government,*,*,Other,White,Female,North America,<=50K
*,*,Government,*,*,Other,White,Female,North America,<=50K
*,*,Government,*,*,Other,White,Female,North America,<=50K
*,*,Government,*,*,Other,White,Female,North America,<=50K
*,*,Government,*,*,Other,White,Female,North America,<=50K
*,*,Government,*,*,Other,White,Female,North America,<=50K
*,*,Government,*,*,Other,White,Female,North America,<=50K
*,*,Government,*,*,Other,White,Female,North America,<=50K
*,*,Government,*,*,Other,White,Female,North America,<=50K
*,*,Government,*,*,Other,White,Female,North America,<=50K
*,*,Government,*,*,Other,White,Female,North America,<=50K
*,*,Government,*,*,Other,White,Female,North America,<=50K
*,*,Government,*,*,Other,White,Female,North America,<=50K
*,*,Government,*,*,Other,White,Female,North America,<=50K
*,*,Government,*,*,Other,White,Female,North America,<=50K
*,*,Government,*,*,Other,White,Female,North America,<=50K
*,*,Government,*,*,Other,White,Female,North America,<=50K
*,*,Government,*,*,Other,White,Female,North America,<=50K
*,*,Government,*,*,Other,White,Female,North America,<=50K
*,*,Government,*,*,Other,White,Female,North America,<=50K
*,*,Government,*,*,Other,White,Female,North America,<=50K
*,*,Government,*,*,Other,White,Female,North America,<=50K
*,*,Government,*,*,Other,White,Female,North America,<=50K
*,*,Government,*,*,Other,White,Female,North America,<=50K
*,*,Government,*,*,Other,White,Female,North America,<=50K
*,*,Government,*,*,Other,White,Female,North America,<=50K
*,*,Government,*,*,Other,White,Female,North America,<=50K
*,*,Government,*,*,Other,White,Female,North America,<=50K
*,*,Government,*,*,Other,White,Female,North America,<=50K
*,*,Government,*,*,Other,White,Female,North America,<=50K
*,*,Government,*,*,Other,White,Female,North America,<=50K
*,*,Government,*,*,Other,White,Female,North America,<=50K
*,*,Government,*,*,Other,White,Female,North America,<=50K
*,*,Government,*,*,Other,White,Female,North America,<=50K
*,*,Government,*,*,Other,White,Female,North America,<=50K
*,*,Government,*,*,Other,White,Female,North America,<=50K
*,*,Government,*,*,Other,White,Female,North America,<=50K
*,*,Government,*,*,Other,White,Female,North America,<=50K
*,*,Government,*,*,Other,White,Female,North America,<=50K
*,*,Government,*,*,Other,White,Female,North America,<=50K
*,*,Government,*,*,Other,White,Female,North America,<=50K
*,*,Government,*,*,Other,White,Female,North America,<=50K
*,*,Government,*,*,Other,White,Female,North America,<=50K
*,*,Government,*,*,Other,White,Female,North America,<=50K
*,*,Government,*,*,Other,White,Female,North America,<=50K
*,*,Government,*,*,Other,White,Female,North America,<=50K
*,*,Government,*,*,Other,White,Female,North America,<=50K
*,*,Government,*,*,Other,White,Female,North America,<=50K
*,*,Government,*,*,Other,White,Female,North America,<=50K
*,*,Government,*,*,Other,White,Female,North America,<=50K
*,*,Government,*,*,Other,White,Female,North America,<=50K
*,*,Government,*,*,Other,White,Female,North America,<=50K
*,*,Government,*,*,Other,White,Female,North America,<=50K
*,*,Government,*,*,Other,White,Female,North America,<=50K
*,*,Government,*,*,Other,White,Female,North America,<=50K
*,*,Government,*,*,Other,White,Female,North America,<=50K
*,*,Government,*,*,Other,White,Female,North America,<=50K
*,*,Government,*,*,Other,White,Female,North America,<=50K
*,*,Government,*,*,Other,White,Female,North America,<=50K
*,*,Government,*,*,Other,White,Female,North America,<=50K
*,*,Government,*,*,Other,White,Female,North America,<=50K
*,*,Government,*,*,Other,White,Female,North America,<=50K
*,*,Government,*,*,Other,White,Female,North America,<=50K
*,*,Government,*,*,Other,White,Female,North America,<=50K
*,*,Government,*,*,Other,White,Female,North America,<=50K
*,*,Government,*,*,Other,White,Female,North America,<=50K
*,*,Government,*,*,Other,White,Female,North America,<=50K
*,*,Government,*,*,Other,White,Female,North America,<=50K
*,*,Government,*,*,Other,White,Female,North America,<=50K
*,*,Government,*,*,Other,White,Female,North America,<=50K
*,*,Government,*,*,Other,White,Female,North America,<=50K
*,*,Government,*,*,Other,White,Female,North America,<=50K
*,*,Government,*,*,Other,White,Female,North America,<=50K
*,*,Government,*,*,Other,White,Female,North America,<=50K
*,*,Government,*,*,Other,White,Female,North America,<=50K
*,*,Government,*,*,Other,White,Female,North America,<=50K
*,*,Government,*,*,Other,White,Female,North America,<=50K
*,*,Government,*,*,Other,White,Female,North America,<=50K
*,*,Government,*,*,Other,White,Female,North America,<=50K
*,*,Government,*,*,Other,White,Female,North America,<=50K
*,*,Government,*,*,Other,White,Female,North America,<=50K
*,*,Government,*,*,Other,White,Female,North America,<=50K
*,*,Government,*,*,Other,White,Female,North America,<=50K
*,*,Government,*,*,Other,White,Female,North America,<=50K
*,*,Government,*,*,Other,White,Female,North America,<=50K
*,*,Government,*,*,Other,White,Female,North America,<=50K
*,*,Government,*,*,Other,White,Female,North America,<=50K
*,*,Government,*,*,Other,White,Female,North America,<=50K
*,*,Government,*,*,Other,White,Female,North America,<=50K
*,*,Government,*,*,Other,White,Female,North America,<=50K
*,*,Government,*,*,Other,White,Female,North America,<=50K
*,*,Government,*,*,Other,White,Female,North America,<=50K
*,*,Government,*,*,Other,White,Female,North America,<=50K
*,*,Government,*,*,Other,White,Female,North America,<=50K
*,*,Government,*,*,Other,White,Female,North America,<=50K
*,*,Government,*,*,Other,White,Female,North America,<=50K
*,*,Government,*,*,Other,White,Female,North America,<=50K
*,*,Government,*,*,Other,White,Female,North America,<=50K
*,*,Government,*,*,Other,White,Female,North America,<=50K
*,*,Government,*,*,Other,White,Female,North America,<=50K
*,*,Government,*,*,Other,White,Female,North America,<=50K
*,*,Government,*,*,Other,White,Female,North America,<=50K
*,*,Government,*,*,Other,White,Female,North America,<=50K
*,*,Government,*,*,Other,White,Female,North America,<=50K
*,*,Government,*,*,Other,White,Female,North America,<=50K
*,*,Government,*,*,Other,White,Female,North America,<=50K
*,*,Government,*,*,Other,White,Female,North America,<=50K
*,*,Government,*,*,Other,White,Female,North America,<=50K
*,*,Government,*,*,Other,White,Female,North America,<=50K
*,*,Government,*,*,Other,White,Female,North America,<=50K
*,*,Government,*,*,Other,White,Female,North America,<=50K
*,*,Government,*,*,Other,White,Female,North America,<=50K
*,*,Government,*,*,Other,White,Female,North America,<=50K
*,*,Government,*,*,Other,White,Female,North America,<=50K
*,*,Government,*,*,Other,White,Female,North America,<=50K
*,*,Government,*,*,Other,White,Female,North America,<=50K
*,*,Government,*,*,Other,White,Female,North America,<=50K
*,*,Government,*,*,Other,White,Female,North America,<=50K
*,*,Government,*,*,Other,White,Female,North America,<=50K
*,*,Government,*,*,Other,White,Female,North America,<=50K
*,*,Government,*,*,Other,White,Female,North America,<=50K
*,*,Government,*,*,Other,White,Female,North America,<=50K
*,*,Government,*,*,Other,White,Female,North America,<=50K
*,*,Government,*,*,Other,White,Female,North America,<=50K
*,*,Government,*,*,Other,White,Female,North America,<=50K
*,*,Government,*,*,Other,White,Female,North America,<=50K
*,*,Government,*,*,Other,White,Female,North America,<=50K
*,*,Government,*,*,Other,White,Female,North America,<=50K
*,*,Government,*,*,Other,White,Female,North America,<=50K
*,*,Government,*,*,Other,White,Female,North America,<=50K
*,*,Government,*,*,Other,White,Female,North America,<=50K
*,*,Government,*,*,Other,White,Female,North America,<=50K
*,*,Government,*,*,Other,White,Female,North America,<=50K
*,*,Government,*,*,Other,White,Female,North America,<=50K
*,*,Government,*,*,Other,White,Female,North America,<=50K
*,*,Government,*,*,Other,White,Male,North America,<=50K
*,*,Government,*,*,Other,White,Male,North America,<=50K
*,*,Government,*,*,Other,White,Male,North America,<=50K
*,*,Government,*,*,Other,White,Male,North America,<=50K
*,*,Government,*,*,Other,White,Male,North America,<=50K
*,*,Government,*,*,Other,White,Male,North America,<=50K
*,*,Government,*,*,Other,White,Male,North America,<=50K
*,*,Government,*,*,Other,White,Male,North America,<=50K
*,*,Government,*,*,Other,White,Male,North America,<=50K
*,*,Government,*,*,Other,White,Male,North America,<=50K
*,*,Government,*,*,Other,White,Male,North America,<=50K
*,*,Government,*,*,Other,White,Male,North America,<=50K
*,*,Government,*,*,Other,White,Male,North America,<=50K
*,*,Government,*,*,Other,White,Male,North America,<=50K
*,*,Government,*,*,Other,White,Male,North America,<=50K
*,*,Government,*,*,Other,White,Male,North America,<=50K
*,*,Government,*,*,Other,White,Male,North America,<=50K
*,*,Government,*,*,Other,White,Male,North America,<=50K
*,*,Government,*,*,Other,White,Male,North America,<=50K
*,*,Government,*,*,Other,White,Male,North America,<=50K
*,*,Government,*,*,Other,White,Male,North America,<=50K
*,*,Government,*,*,Other,White,Male,North America,<=50K
*,*,Government,*,*,Other,White,Male,North America,<=50K
*,*,Government,*,*,Other,White,Male,North America,<=50K
*,*,Government,*,*,Other,White,Male,North America,<=50K
*,*,Government,*,*,Other,White,Male,North America,<=50K
*,*,Government,*,*,Other,White,Male,North America,<=50K
*,*,Government,*,*,Other,White,Male,North America,<=50K
*,*,Government,*,*,Other,White,Male,North America,<=50K
*,*,Government,*,*,Other,White,Male,North America,<=50K
*,*,Government,*,*,Other,White,Male,North America,<=50K
*,*,Government,*,*,Other,White,Male,North America,<=50K
*,*,Government,*,*,Other,White,Male,North America,<=50K
*,*,Government,*,*,Other,White,Male,North America,<=50K
*,*,Government,*,*,Other,White,Male,North America,<=50K
*,*,Government,*,*,Other,White,Male,North America,<=50K
*,*,Government,*,*,Other,White,Male,North America,<=50K
*,*,Government,*,*,Other,White,Male,North America,<=50K
*,*,Government,*,*,Other,White,Male,North America,<=50K
*,*,Government,*,*,Other,White,Male,North America,<=50K
*,*,Government,*,*,Other,White,Male,North America,<=50K
*,*,Government,*,*,Other,White,Male,North America,<=50K
*,*,Government,*,*,Other,White,Male,North America,<=50K
*,*,Government,*,*,Other,White,Male,North America,<=50K
*,*,Government,*,*,Other,White,Male,North America,<=50K
*,*,Government,*,*,Other,White,Male,North America,<=50K
*,*,Government,*,*,Other,White,Male,North America,<=50K
*,*,Government,*,*,Other,White,Male,North America,<=50K
*,*,Government,*,*,Other,White,Male,North America,<=50K
*,*,Government,*,*,Other,White,Male,North America,<=50K
*,*,Government,*,*,Other,White,Male,North America,<=50K
*,*,Government,*,*,Other,White,Male,North America,<=50K
*,*,Government,*,*,Other,White,Male,North America,<=50K
*,*,Government,*,*,Other,White,Male,North America,<=50K
*,*,Government,*,*,Other,White,Male,North America,<=50K
*,*,Government,*,*,Other,White,Male,North America,<=50K
*,*,Government,*,*,Other,White,Male,North America,<=50K
*,*,Government,*,*,Other,White,Male,North America,<=50K
*,*,Government,*,*,Other,White,Male,North America,<=50K
*,*,Government,*,*,Other,White,Male,North America,<=50K
*,*,Government,*,*,Other,White,Male,North America,<=50K
*,*,Government,*,*,Other,White,Male,North America,<=50K
*,*,Government,*,*,Other,White,Male,North America,<=50K
*,*,Government,*,*,Other,White,Male,North America,<=50K
*,*,Government,*,*,Other,White,Male,North America,<=50K
*,*,Government,*,*,Other,White,Male,North America,<=50K
*,*,Government,*,*,Other,White,Male,North America,<=50K
*,*,Government,*,*,Other,White,Male,North America,<=50K
*,*,Government,*,*,Other,White,Male,North America,<=50K
*,*,Government,*,*,Other,White,Male,North America,<=50K
*,*,Government,*,*,Other,White,Male,North America,<=50K
*,*,Government,*,*,Other,White,Male,North America,<=50K
*,*,Government,*,*,Other,White,Male,North America,<=50K
*,*,Government,*,*,Other,White,Male,North America,<=50K
*,*,Government,*,*,Other,White,Male,North America,<=50K
*,*,Government,*,*,Other,White,Male,North America,<=50K
*,*,Government,*,*,Other,White,Male,North America,<=50K
*,*,Government,*,*,Other,White,Male,North America,<=50K
*,*,Government,*,*,Other,White,Male,North America,<=50K
*,*,Government,*,*,Other,White,Male,North America,<=50K
*,*,Government,*,*,Other,White,Male,North America,<=50K
*,*,Government,*,*,Other,White,Male,North America,<=50K
*,*,Government,*,*,Other,White,Male,North America,<=50K
*,*,Government,*,*,Other,White,Male,North America,<=50K
*,*,Government,*,*,Other,White,Male,North America,<=50K
*,*,Government,*,*,Other,White,Male,North America,<=50K
*,*,Government,*,*,Other,White,Male,North America,<=50K
*,*,Government,*,*,Other,White,Male,North America,<=50K
*,*,Government,*,*,Other,White,Male,North America,<=50K
*,*,Government,*,*,Other,White,Male,North America,<=50K
*,*,Government,*,*,Other,White,Male,North America,<=50K
*,*,Government,*,*,Other,White,Male,North America,<=50K
*,*,Government,*,*,Other,White,Male,North America,<=50K
*,*,Government,*,*,Other,White,Male,North America,<=50K
*,*,Government,*,*,Other,White,Male,North America,<=50K
*,*,Government,*,*,Other,White,Male,North America,<=50K
*,*,Government,*,*,Other,White,Male,North America,<=50K
*,*,Government,*,*,Other,White,Male,North America,<=50K
*,*,Government,*,*,Other,White,Male,North America,<=50K
*,*,Government,*,*,Other,White,Male,North America,<=50K
*,*,Government,*,*,Other,White,Male,North America,<=50K
